[00:21:47.347874] -=-=-=-=-=-=-=-=-= APPLICATION_NAME HAS STARTED =-=-=-=-=-=-=-=-=- (Location: 'ZData00/Program.cs', Line: #12)
[00:21:49.530189] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #27)
[00:21:49.563862] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[00:21:49.604510] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[00:21:49.624964] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #19)
[00:21:49.652126] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[00:21:49.678904] 'Range' primary constructor (Location: 'Values/Range.cs', Line: #55)
[00:21:49.709607] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[00:21:49.730374] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[00:21:49.749608] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #25)
[00:21:49.769678] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[00:21:49.786851] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #131)
[00:21:49.804520] 'Generate' function (Location: 'IDs/DeviceID.cs', Line: #23)
[00:21:49.827903] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[00:21:49.849093] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[00:21:49.870217] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #25)
[00:21:49.895814] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[00:21:49.914756] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #188)
[00:21:49.934500] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #192)
[00:21:49.966278] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #216)
[00:21:49.986310] 'DeviceID' constructor (Location: 'IDs/DeviceID.cs', Line: #16)
[00:21:50.006853] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[00:21:50.025646] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[00:21:50.049064] 'BaseIdentity' primary constructor (Location: 'Bases/BaseIdentity.cs', Line: #30)
[00:21:50.069584] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[00:21:50.088533] 'DeviceIdentity' primary constructor (Location: 'Identities/DeviceIdentity.cs', Line: #15)
[00:21:50.108428] 'DeviceIdentity' constructor (Location: 'Identities/DeviceIdentity.cs', Line: #17)
[00:21:50.127905] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[00:21:50.152873] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[00:21:50.169524] 'MACAddress' primary constructor (Location: 'Values/MACAddress.cs', Line: #19)
[00:21:50.186724] 'MACAddress' empty constructor (Location: 'Values/MACAddress.cs', Line: #37)
[00:21:50.208396] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[00:21:50.229161] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[00:21:50.249115] 'BaseDevice' primary constructor (Location: 'Bases/BaseDevice.cs', Line: #25)
