[21:03:00.573747] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #16)
[21:03:00.646830] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[21:03:00.809976] 'ToMessagePack' function (Location: 'Bases/BaseID.cs', Line: #136)
[21:03:01.030743] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[21:03:01.051019] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #39)
[21:03:01.074807] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[21:03:01.098751] 'IDException' constructor (Location: 'Exceptions/IDException.cs', Line: #16)
[21:03:01.916928] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #70)
[22:51:01.608219] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #17)
[22:51:01.675585] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[22:51:01.703603] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:01.724152] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #18)
[22:51:01.747995] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #22)
[22:51:01.866421] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:01.882010] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #39)
[22:51:01.916863] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:01.941978] 'IDException' constructor (Location: 'Exceptions/IDException.cs', Line: #15)
[22:51:02.033870] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[22:51:02.057996] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:02.130523] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #18)
[22:51:02.300428] 'ToMessagePack' function (Location: 'Bases/BaseID.cs', Line: #113)
[22:51:02.594366] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #17)
[22:51:02.624799] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[22:51:02.648269] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:02.667658] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #18)
[22:51:02.687649] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #22)
[22:51:02.754930] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:02.776419] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #39)
[22:51:02.794729] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:02.814294] 'IDException' constructor (Location: 'Exceptions/IDException.cs', Line: #15)
[22:51:02.916805] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[22:51:02.939459] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:02.964181] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #18)
[22:51:02.984496] 'ToMessagePack' function (Location: 'Bases/BaseID.cs', Line: #113)
[22:51:21.765933] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #17)
[22:51:21.786255] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[22:51:21.808069] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:21.825895] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #18)
[22:51:21.845726] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #22)
[22:51:21.892693] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:21.910149] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #39)
[22:51:21.931144] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:21.950901] 'IDException' constructor (Location: 'Exceptions/IDException.cs', Line: #15)
[22:51:22.046175] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[22:51:22.064796] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:22.081945] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #18)
[22:51:22.105419] 'ToMessagePack' function (Location: 'Bases/BaseID.cs', Line: #113)
[22:51:22.236467] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #17)
[22:51:22.258743] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[22:51:22.282590] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:22.300993] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #18)
[22:51:22.324431] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #22)
[22:51:22.371854] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[22:51:22.389430] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #39)
[22:51:22.409551] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
