[11:31:44.360128] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #18)
[11:31:44.399161] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[11:31:44.418090] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[11:31:44.434970] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #19)
[11:31:44.452992] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[11:31:44.472537] 'Range' primary constructor (Location: 'Values/Range.cs', Line: #55)
[11:31:44.491990] 'ToString' override function (Location: 'Values/Range.cs', Line: #231)
[11:31:44.553918] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[11:31:44.568859] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[11:31:44.583111] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[11:31:44.598299] 'NameException' constructor (Location: 'Exceptions/NameException.cs', Line: #15)
[11:31:44.650563] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[11:31:44.665503] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[11:31:44.680755] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #19)
[11:31:44.695080] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[11:31:44.709632] 'Range' primary constructor (Location: 'Values/Range.cs', Line: #55)
[11:31:44.725252] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[11:31:44.740328] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[11:31:44.754866] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #20)
[11:31:44.771409] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[11:31:44.785658] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #111)
[11:31:44.801057] 'Generate' function (Location: 'Bases/BaseID.cs', Line: #187)
[11:31:44.816647] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[11:31:44.838050] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #18)
[11:31:44.854805] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[11:31:44.870614] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #155)
