[01:11:41.992590] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:11:42.010867] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:42.027850] 'BaseIdentity' primary constructor (Location: 'Bases/BaseIdentity.cs', Line: #30)
[01:11:42.046088] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:42.062391] 'ObjectIdentity' primary constructor (Location: 'Identities/ObjectIdentity.cs', Line: #15)
[01:11:42.079897] 'ObjectIdentity' constructor (Location: 'Identities/ObjectIdentity.cs', Line: #18)
[01:11:42.099735] 'SetParametersAsync' override function (Location: 'Pages/Index.razor.cs', Line: #47)
[01:11:42.117330] 'OnInitialized' override function (Location: 'Pages/Index.razor.cs', Line: #135)
[01:11:42.134920] 'OnInitializedAsync' override function (Location: 'Pages/Index.razor.cs', Line: #154)
[01:11:42.153479] 'OnParametersSet' override function (Location: 'Pages/Index.razor.cs', Line: #177)
[01:11:42.173306] 'OnParametersSetAsync' override function (Location: 'Pages/Index.razor.cs', Line: #196)
[01:11:42.191932] 'ToJSON' function (Location: 'Bases/Base.cs', Line: #143)
[01:11:42.601068] 'OnAfterRender' override function (Location: 'Pages/Index.razor.cs', Line: #93)
[01:11:42.623409] 'OnAfterRenderAsync' override function (Location: 'Pages/Index.razor.cs', Line: #112)
[01:12:03.154989] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #20)
[01:12:03.181991] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:12:03.213417] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:03.245381] 'Array' primary constructor (Location: 'Classes/Array.cs', Line: #38)
[01:12:03.726032] 'ToString' override function (Location: 'Classes/Array.cs', Line: #254)
[01:12:03.785050] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:03.805078] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:12:03.827684] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:03.850469] 'ClassException' constructor (Location: 'Exceptions/ClassException.cs', Line: #15)
[01:12:03.939282] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:12:03.992438] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:04.012763] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:12:04.039354] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:04.061485] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[01:12:13.343872] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:12:13.363908] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:13.387359] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #19)
[01:12:13.418081] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:12:13.446289] 'Range' primary constructor (Location: 'Values/Range.cs', Line: #55)
[01:12:13.471164] 'ToString' override function (Location: 'Values/Range.cs', Line: #231)
[01:12:13.530198] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:13.540111] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:12:13.564223] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:13.594314] 'NameException' constructor (Location: 'Exceptions/NameException.cs', Line: #15)
[01:12:13.901462] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:12:13.958749] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:14.000659] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:12:14.022737] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:14.043781] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[01:12:54.314213] -=-=-=-=-=-=-=-=-=-= APPLICATION_NAME HAS STARTED =-=-=-=-=-=-=-=-=-=- (Location: 'ZData00/Program.cs', Line: #12)
[01:12:56.490599] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #20)
[01:12:56.529462] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:12:56.564035] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:56.585732] 'Array' primary constructor (Location: 'Classes/Array.cs', Line: #38)
[01:12:57.011674] 'ToString' override function (Location: 'Classes/Array.cs', Line: #254)
[01:12:57.065279] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:57.084280] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:12:57.162568] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:57.214468] 'ClassException' constructor (Location: 'Exceptions/ClassException.cs', Line: #15)
[01:12:57.327435] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:12:57.362340] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:57.384628] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:12:57.411900] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:12:57.432353] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[01:13:03.585481] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:13:03.609052] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:03.646196] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #19)
[01:13:03.676276] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:13:03.697781] 'Range' primary constructor (Location: 'Values/Range.cs', Line: #55)
[01:13:03.717006] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:13:03.737133] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:03.757662] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #25)
[01:13:03.777857] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:03.797736] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #131)
[01:13:03.819297] 'Generate' function (Location: 'IDs/ObjectID.cs', Line: #23)
[01:13:03.844304] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:13:03.866256] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:03.887632] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #25)
[01:13:03.939089] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:03.979979] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #188)
[01:13:04.028087] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #192)
[01:13:04.053735] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #216)
[01:13:04.072933] 'ObjectID' constructor (Location: 'IDs/ObjectID.cs', Line: #16)
[01:13:04.092783] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:13:04.111434] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:04.128083] 'BaseIdentity' primary constructor (Location: 'Bases/BaseIdentity.cs', Line: #30)
[01:13:04.147365] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:04.179580] 'ObjectIdentity' primary constructor (Location: 'Identities/ObjectIdentity.cs', Line: #15)
[01:13:04.202732] 'ObjectIdentity' constructor (Location: 'Identities/ObjectIdentity.cs', Line: #18)
[01:13:04.399387] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #59)
[01:13:04.419544] 'ToString' override function (Location: 'Bases/Base.cs', Line: #114)
[01:13:04.437287] 'ToString' override function (Location: 'Bases/Base.cs', Line: #114)
[01:13:04.470483] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #67)
[01:13:04.515894] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:13:04.565972] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:04.585378] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:13:04.607808] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:04.651919] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[01:13:05.810451] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:13:05.865546] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:05.895898] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:13:05.932739] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:05.951317] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[01:13:06.437406] 'ToString' override function (Location: 'Classes/Array.cs', Line: #254)
[01:13:06.472213] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:06.491660] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:13:06.532256] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:06.551244] 'ClassException' constructor (Location: 'Exceptions/ClassException.cs', Line: #15)
[01:13:06.628135] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:13:06.672908] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:06.692787] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:13:06.749200] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:06.767153] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[01:13:07.176473] 'ToString' override function (Location: 'Classes/Array.cs', Line: #254)
[01:13:07.221512] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:07.240889] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:13:07.262719] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:07.285141] 'ClassException' constructor (Location: 'Exceptions/ClassException.cs', Line: #15)
[01:13:07.376512] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #59)
[01:13:07.395974] 'ToString' override function (Location: 'Bases/Base.cs', Line: #114)
[01:13:07.416745] 'ToString' override function (Location: 'Bases/Base.cs', Line: #114)
[01:13:07.435675] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #67)
[01:13:07.503156] 'ToString' override function (Location: 'Classes/Array.cs', Line: #254)
[01:13:07.540659] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:07.559838] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:13:07.583034] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
