[12:05:15.688949] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #12)
[12:05:15.796745] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[12:05:15.849420] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #30)
[12:05:53.156136] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #12)
[12:05:58.781462] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[12:05:58.802977] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #30)
[12:05:58.994112] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:05:59.026239] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:06:00.588190] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:06:05.347073] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:08:54.509843] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #12)
[12:08:59.661588] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[12:08:59.682503] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #30)
[12:08:59.867199] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:08:59.913660] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:09:01.273019] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:09:10.842852] 'MoveNext' function (Location: 'Bases/BaseData.cs', Line: #300)
[12:09:19.842319] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:09:20.446517] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:09:31.366733] 'MoveNext' function (Location: 'Bases/BaseData.cs', Line: #300)
[12:09:39.515032] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[12:09:39.542876] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[12:09:39.565861] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[12:09:39.589327] 'PageException' primary constructor (Location: 'Exceptions/PageException.cs', Line: #14)
[12:09:39.622359] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[12:10:23.440582] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #12)
[12:10:35.320264] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[12:10:35.351616] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #30)
[12:10:35.576823] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:10:35.634662] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:10:37.665286] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:10:38.991722] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:10:39.513332] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:10:39.789987] 'MoveNext' function (Location: 'Bases/BaseData.cs', Line: #300)
[12:10:39.998360] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:10:41.821506] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[12:10:42.556060] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #42)
[22:25:03.864792] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #12)
[22:25:41.495854] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #12)
[22:25:41.544562] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:25:41.567860] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #31)
[22:25:42.018543] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #43)
[22:25:49.203918] 'MoveNext' function (Location: 'Bases/BaseData.cs', Line: #301)
[22:26:03.893742] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #43)
[22:26:04.735170] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #43)
[22:26:05.027213] 'MoveNext' function (Location: 'Bases/BaseData.cs', Line: #301)
[22:26:11.331396] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:26:11.352618] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[22:26:11.385177] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:26:11.417383] 'PageException' primary constructor (Location: 'Exceptions/PageException.cs', Line: #14)
[22:26:11.498516] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[22:42:29.051899] -=-=-=-=-=-=-=-= APPLICATION_NAME HAS BOOTED =-=-=-=-=-=-=-=- (Location: 'ZData02/Program.cs', Line: #10)
[22:43:16.092270] -=-=-=-=-=-=-=-= APPLICATION_NAME HAS BOOTED =-=-=-=-=-=-=-=- (Location: 'ZData02/Program.cs', Line: #10)
[22:45:19.592721] -=-=-=-=-=-=-=-= APPLICATION_NAME HAS BOOTED =-=-=-=-=-=-=-=- (Location: 'ZData02/Program.cs', Line: #10)
[22:45:21.314203] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #15)
[22:45:21.338460] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:45:21.357782] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #31)
[22:45:21.818725] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #43)
[22:45:21.862675] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #62)
[22:45:21.906629] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:45:21.926423] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[22:45:21.958606] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:45:21.981492] 'PageException' primary constructor (Location: 'Exceptions/PageException.cs', Line: #14)
[22:45:22.005851] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[22:45:28.693228] 'MoveNext' function (Location: 'Bases/BaseData.cs', Line: #301)
[22:45:28.759351] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:45:28.781721] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[22:45:28.847703] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:45:28.867762] 'PageException' primary constructor (Location: 'Exceptions/PageException.cs', Line: #14)
[22:45:28.890643] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[22:45:28.932808] 'SetParametersAsync' override function (Location: 'Pages/Index.razor.cs', Line: #34)
[22:45:28.994937] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:45:29.015313] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[22:45:29.041336] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:45:29.071729] 'PageException' primary constructor (Location: 'Exceptions/PageException.cs', Line: #14)
[22:45:29.093191] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[22:45:29.133839] 'OnInitialized' override function (Location: 'Pages/Index.razor.cs', Line: #121)
[22:45:29.154813] 'OnInitializedAsync' override function (Location: 'Pages/Index.razor.cs', Line: #140)
[22:45:29.206006] 'OnAfterRender' override function (Location: 'Pages/Index.razor.cs', Line: #85)
[22:45:29.226400] 'OnAfterRenderAsync' override function (Location: 'Pages/Index.razor.cs', Line: #104)
