[15:24:12.101047] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:15.963822] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:16.455736] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:17.277848] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:18.123320] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:18.652375] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:19.227859] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:20.010553] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:20.525669] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:21.081876] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:21.519751] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:22.067262] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:22.649143] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:22.984428] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:23.415399] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:23.883304] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:24.360153] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:24.705662] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:25.145607] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:25.602757] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:25.990738] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:26.387588] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:26.756722] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:27.122435] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:27.586590] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:28.303701] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:29.065805] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:31.381660] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:32.151402] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:24:32.780266] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:25:20.176242] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[15:25:20.233584] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[15:25:20.271136] 'ToBLOBsString' function (Location: 'Bases/BaseData.cs', Line: #337)
[15:25:20.302029] 'ToBLOBs' function (Location: 'Bases/BaseData.cs', Line: #170)
[15:25:20.728247] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:25:24.498377] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:25:26.499525] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:26:34.912928] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[15:26:34.962732] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[15:26:34.997798] 'ToBLOBsString' function (Location: 'Bases/BaseData.cs', Line: #337)
[15:26:35.024851] 'ToBLOBs' function (Location: 'Bases/BaseData.cs', Line: #170)
[15:26:35.370218] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:26:42.273095] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:27:08.722560] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:27:09.842559] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:27:10.461304] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:27:10.847877] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:27:11.395815] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:27:12.125106] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:27:12.604689] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[22:00:53.972232] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:00:54.034998] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[22:00:54.061866] 'ToBLOBsString' function (Location: 'Bases/BaseData.cs', Line: #337)
[22:00:54.089119] 'ToBLOBs' function (Location: 'Bases/BaseData.cs', Line: #170)
[22:00:54.579953] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[22:01:15.515200] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[22:01:15.539055] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[22:01:15.564368] 'ToBLOBsString' function (Location: 'Bases/BaseData.cs', Line: #337)
[22:01:15.590936] 'ToBLOBs' function (Location: 'Bases/BaseData.cs', Line: #170)
[22:01:15.825589] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[23:13:31.744851] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #11)
