[13:59:00.169167] 'Moment' primary constructor (Location: 'Moment/Moment.cs', Line: #31)
[13:59:00.202133] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:59:00.228277] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[13:59:00.247443] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:59:00.262595] 'BaseObject' primary constructor (Location: 'Bases/BaseObject.cs', Line: #52)
[13:59:00.281629] 'BaseObject' constructor (Location: 'Bases/BaseObject.cs', Line: #69)
[13:59:00.986719] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:01.020705] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[13:59:01.045323] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:01.071372] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:01.094515] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[13:59:13.263613] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:13.285829] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[13:59:13.305777] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:13.326908] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:13.348049] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[13:59:13.602765] 'Create' function (Location: 'Bases/BaseObject.cs', Line: #109)
[13:59:13.825467] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:13.849959] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[13:59:13.872317] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:13.893350] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:13.923625] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[13:59:14.233128] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:14.254541] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[13:59:14.303251] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:14.330151] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:14.353269] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[13:59:14.719752] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:14.744298] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[13:59:14.776362] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:14.800806] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:14.826211] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[13:59:15.195969] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:15.218976] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[13:59:15.243332] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[13:59:15.265609] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
