[11:40:17.780417] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:17.800543] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:40:17.822460] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:17.842019] 'Day' primary constructor (Location: 'Date/Day.cs', Line: #19)
[11:40:17.862911] 'Day' constructor (Location: 'Date/Day.cs', Line: #28)
[11:40:17.882831] 'Date' constructor (Location: 'Date/Date.cs', Line: #367)
[11:40:17.910474] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:17.935332] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:40:17.956040] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:17.976362] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:40:17.995174] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:18.013015] 'Year' primary constructor (Location: 'Date/Year.cs', Line: #19)
[11:40:18.035955] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:18.056569] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:40:18.075479] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:18.094396] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:40:18.114839] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:18.134456] 'Month' primary constructor (Location: 'Date/Month.cs', Line: #20)
[11:40:18.159282] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:18.178788] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:40:18.198884] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:18.218761] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:40:18.239348] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:18.258127] 'Day' primary constructor (Location: 'Date/Day.cs', Line: #19)
[11:40:18.873323] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:24.936444] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:25.498386] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:25.964407] 'ToJSON' function (Location: 'Date/Date.cs', Line: #673)
[11:40:26.158714] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:26.781500] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:27.477804] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:29.067607] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:30.881123] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:31.474676] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:32.048417] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:32.580875] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:33.040238] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:33.579119] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:34.196967] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:35.858899] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:40:35.934597] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #43)
[11:40:38.607389] 'OnAfterRender' override function (Location: 'Components/Header.razor.cs', Line: #225)
[11:40:38.668332] 'OnAfterRenderAsync' override function (Location: 'Components/Header.razor.cs', Line: #240)
[11:40:38.725442] 'OnAfterRender' override function (Location: 'Pages/Index.razor.cs', Line: #149)
[11:40:38.751301] 'OnAfterRenderAsync' override function (Location: 'Pages/Index.razor.cs', Line: #164)
[11:42:17.536766] -=-=-=-=-=-=-=-=-= APPLICATION_NAME HAS STARTED =-=-=-=-=-=-=-=-=- (Location: 'ZData01/Program.cs', Line: #10)
[11:42:20.244757] 'Header' empty constructor (Location: 'Components/Header.razor.cs', Line: #26)
[11:42:20.276552] 'SetParametersAsync' override function (Location: 'Components/Header.razor.cs', Line: #263)
[11:42:20.310137] 'OnInitialized' override function (Location: 'Components/Header.razor.cs', Line: #40)
[11:42:20.342574] 'OnInitializedAsync' override function (Location: 'Components/Header.razor.cs', Line: #55)
[11:42:20.372196] 'OnParametersSet' override function (Location: 'Components/Header.razor.cs', Line: #78)
[11:42:20.397431] 'OnParametersSetAsync' override function (Location: 'Components/Header.razor.cs', Line: #179)
[11:42:20.444415] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #23)
[11:42:20.470685] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:20.491716] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:20.546863] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:20.569479] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #25)
[11:42:20.609372] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:20.632779] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:20.655416] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:20.676152] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #21)
[11:42:20.698511] 'BaseType' constructor (Location: 'Bases/BaseType.cs', Line: #167)
[11:42:20.727945] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:20.753483] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:20.777621] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:20.800294] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #27)
[11:42:20.824461] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:20.858821] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #238)
[11:42:20.896267] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #270)
[11:42:20.931270] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:20.949975] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:20.968979] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:20.986947] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #27)
[11:42:21.006854] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.034442] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #238)
[11:42:21.059308] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.086385] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:21.106673] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.124971] 'BaseIdentity' primary constructor (Location: 'Bases/BaseIdentity.cs', Line: #38)
[11:42:21.146828] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.164820] 'ObjectIdentity' primary constructor (Location: 'Identities/ObjectIdentity.cs', Line: #26)
[11:42:21.202029] 'SetParametersAsync' override function (Location: 'Pages/Index.razor.cs', Line: #187)
[11:42:21.226142] 'OnInitialized' override function (Location: 'Pages/Index.razor.cs', Line: #50)
[11:42:21.248633] 'OnInitializedAsync' override function (Location: 'Pages/Index.razor.cs', Line: #65)
[11:42:21.271816] 'OnParametersSet' override function (Location: 'Pages/Index.razor.cs', Line: #88)
[11:42:21.295119] 'OnParametersSetAsync' override function (Location: 'Pages/Index.razor.cs', Line: #103)
[11:42:21.331338] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.350897] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:21.383008] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.406993] 'Date' primary constructor (Location: 'Date/Date.cs', Line: #34)
[11:42:21.442758] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.464484] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:21.499959] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.523314] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:42:21.553181] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.598076] 'Year' primary constructor (Location: 'Date/Year.cs', Line: #19)
[11:42:21.619636] 'Year' constructor (Location: 'Date/Year.cs', Line: #28)
[11:42:21.645853] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.667379] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:21.702125] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.728142] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:42:21.750301] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.769820] 'Month' primary constructor (Location: 'Date/Month.cs', Line: #20)
[11:42:21.791248] 'Month' constructor (Location: 'Date/Month.cs', Line: #29)
[11:42:21.814257] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.835003] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:21.857350] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.880051] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:42:21.901844] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:21.928546] 'Day' primary constructor (Location: 'Date/Day.cs', Line: #19)
[11:42:21.956281] 'Day' constructor (Location: 'Date/Day.cs', Line: #28)
[11:42:21.981472] 'Date' constructor (Location: 'Date/Date.cs', Line: #367)
[11:42:22.005426] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:22.024611] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:22.051544] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:22.077190] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:42:22.101202] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:22.158143] 'Year' primary constructor (Location: 'Date/Year.cs', Line: #19)
[11:42:22.178674] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:22.204051] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:22.228185] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:22.247949] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:42:22.271001] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:22.293084] 'Month' primary constructor (Location: 'Date/Month.cs', Line: #20)
[11:42:22.316208] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:22.337185] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:42:22.364618] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:22.390992] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:42:22.414574] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:42:22.437311] 'Day' primary constructor (Location: 'Date/Day.cs', Line: #19)
[11:42:22.958606] 'ToString' override function (Location: 'Date/Date.cs', Line: #609)
[11:42:25.040883] 'ToJSON' function (Location: 'Date/Date.cs', Line: #673)
[11:42:25.305525] 'OnAfterRender' override function (Location: 'Components/Header.razor.cs', Line: #225)
[11:42:25.327637] 'OnAfterRenderAsync' override function (Location: 'Components/Header.razor.cs', Line: #240)
[11:42:25.351230] 'OnAfterRender' override function (Location: 'Pages/Index.razor.cs', Line: #149)
[11:42:25.373254] 'OnAfterRenderAsync' override function (Location: 'Pages/Index.razor.cs', Line: #164)
[11:42:58.610503] -=-=-=-=-=-=-=-=-= APPLICATION_NAME HAS STARTED =-=-=-=-=-=-=-=-=- (Location: 'ZData01/Program.cs', Line: #10)
[11:43:01.388418] 'Header' empty constructor (Location: 'Components/Header.razor.cs', Line: #26)
[11:43:01.419530] 'SetParametersAsync' override function (Location: 'Components/Header.razor.cs', Line: #263)
[11:43:01.447319] 'OnInitialized' override function (Location: 'Components/Header.razor.cs', Line: #40)
[11:43:01.468031] 'OnInitializedAsync' override function (Location: 'Components/Header.razor.cs', Line: #55)
[11:43:01.488658] 'OnParametersSet' override function (Location: 'Components/Header.razor.cs', Line: #78)
[11:43:01.508812] 'OnParametersSetAsync' override function (Location: 'Components/Header.razor.cs', Line: #179)
[11:43:01.539586] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #23)
[11:43:01.564433] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:01.588100] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:01.611987] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:01.630070] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #25)
[11:43:01.653954] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:01.673467] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:01.696470] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:01.718851] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #21)
[11:43:01.739534] 'BaseType' constructor (Location: 'Bases/BaseType.cs', Line: #167)
[11:43:01.759816] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:01.787260] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:01.816553] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:01.840047] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #27)
[11:43:01.865759] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:01.887606] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #238)
[11:43:01.924246] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #270)
[11:43:01.951713] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:01.974576] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:01.999261] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.035005] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #27)
[11:43:02.064788] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.088088] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #238)
[11:43:02.108813] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.130709] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:02.156071] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.180402] 'BaseIdentity' primary constructor (Location: 'Bases/BaseIdentity.cs', Line: #38)
[11:43:02.201645] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.220304] 'ObjectIdentity' primary constructor (Location: 'Identities/ObjectIdentity.cs', Line: #26)
[11:43:02.255270] 'SetParametersAsync' override function (Location: 'Pages/Index.razor.cs', Line: #187)
[11:43:02.280874] 'OnInitialized' override function (Location: 'Pages/Index.razor.cs', Line: #50)
[11:43:02.304205] 'OnInitializedAsync' override function (Location: 'Pages/Index.razor.cs', Line: #65)
[11:43:02.336070] 'OnParametersSet' override function (Location: 'Pages/Index.razor.cs', Line: #88)
[11:43:02.353168] 'OnParametersSetAsync' override function (Location: 'Pages/Index.razor.cs', Line: #103)
[11:43:02.424573] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.441756] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:02.478145] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.509423] 'Date' primary constructor (Location: 'Date/Date.cs', Line: #34)
[11:43:02.530877] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.548156] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:02.565102] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.582527] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:43:02.603209] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.619952] 'Year' primary constructor (Location: 'Date/Year.cs', Line: #19)
[11:43:02.638484] 'Year' constructor (Location: 'Date/Year.cs', Line: #28)
[11:43:02.656850] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.673067] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:02.692591] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.708627] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:43:02.726371] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.742355] 'Month' primary constructor (Location: 'Date/Month.cs', Line: #20)
[11:43:02.759422] 'Month' constructor (Location: 'Date/Month.cs', Line: #29)
[11:43:02.779071] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.797061] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:02.817895] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.838144] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:43:02.861636] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.884348] 'Day' primary constructor (Location: 'Date/Day.cs', Line: #19)
[11:43:02.905282] 'Day' constructor (Location: 'Date/Day.cs', Line: #28)
[11:43:02.926930] 'Date' constructor (Location: 'Date/Date.cs', Line: #367)
[11:43:02.950919] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:02.972544] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:02.997343] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:03.017976] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
[11:43:03.038328] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:03.061137] 'Year' primary constructor (Location: 'Date/Year.cs', Line: #19)
[11:43:03.083228] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:03.103692] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:43:03.121726] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:43:03.140530] 'BaseNumber' primary constructor (Location: 'Bases/BaseNumber.cs', Line: #30)
