[17:28:50.892757] -=-=-=-=-=-=-=-=-= APPLICATION_NAME HAS STARTED =-=-=-=-=-=-=-=-=- (Location: 'ZData01/Program.cs', Line: #9)
[17:28:54.652722] 'Header' empty constructor (Location: 'Components/Header.razor.cs', Line: #26)
[17:28:54.682247] 'SetParametersAsync' override function (Location: 'Components/Header.razor.cs', Line: #263)
[17:28:54.709359] 'OnInitialized' override function (Location: 'Components/Header.razor.cs', Line: #40)
[17:28:54.738223] 'OnInitializedAsync' override function (Location: 'Components/Header.razor.cs', Line: #55)
[17:28:54.763350] 'OnParametersSet' override function (Location: 'Components/Header.razor.cs', Line: #78)
[17:28:54.787462] 'OnParametersSetAsync' override function (Location: 'Components/Header.razor.cs', Line: #179)
[17:28:54.809290] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #23)
[17:28:55.452356] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #74)
[17:31:48.563935] -=-=-=-=-=-=-=-=-= APPLICATION_NAME HAS STARTED =-=-=-=-=-=-=-=-=- (Location: 'ZData01/Program.cs', Line: #9)
[17:31:51.600179] 'Header' empty constructor (Location: 'Components/Header.razor.cs', Line: #26)
[17:31:51.628094] 'SetParametersAsync' override function (Location: 'Components/Header.razor.cs', Line: #263)
[17:31:51.661057] 'OnInitialized' override function (Location: 'Components/Header.razor.cs', Line: #40)
[17:31:51.692274] 'OnInitializedAsync' override function (Location: 'Components/Header.razor.cs', Line: #55)
[17:31:51.717059] 'OnParametersSet' override function (Location: 'Components/Header.razor.cs', Line: #78)
[17:31:51.740716] 'OnParametersSetAsync' override function (Location: 'Components/Header.razor.cs', Line: #179)
[17:31:51.765663] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #25)
[17:31:51.943471] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[17:31:51.988116] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[17:31:52.040988] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[17:31:52.066780] 'PageException' primary constructor (Location: 'Exceptions/PageException.cs', Line: #14)
[17:31:52.094598] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[17:31:52.164598] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[17:31:52.190689] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[17:31:52.221019] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[17:31:52.249498] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #25)
[17:31:52.280846] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[17:31:52.309568] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[17:31:52.337622] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[17:31:52.365336] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #21)
[17:31:52.393432] 'BaseType' constructor (Location: 'Bases/BaseType.cs', Line: #167)
[17:31:52.437181] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[17:31:52.458642] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[17:31:52.494571] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[17:31:52.530761] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #27)
[17:31:52.552209] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[17:31:52.586803] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #238)
